id,loan_amount,grade,purpose,home_ownership,income,dti,fico,loan_status
741776,25175.0,5,debt_consolidation,1,60000.0,11.08,695.0,1
425925,11500.0,5,credit_card,1,95000.0,18.24,660.0,1
849138,18000.0,6,debt_consolidation,0,55000.0,18.22,675.0,1
316577,12475.0,1,car,1,39000.0,27.63,675.0,0
1578296,5000.0,6,debt_consolidation,1,26000.0,8.63,685.0,1
127876,3375.0,6,home_improvement,1,36000.0,29.18,775.0,1
884767,8000.0,4,major_purchase,1,54000.0,12.11,660.0,1
23433,23000.0,5,debt_consolidation,1,120000.0,32.07,690.0,1
136744,13200.0,7,credit_card,1,45000.0,6.8,785.0,1
1555398,16800.0,6,debt_consolidation,0,84000.0,9.11,670.0,0
1578229,20000.0,4,small_business,0,100000.0,10.64,685.0,0
131405,19800.0,3,debt_consolidation,1,55000.0,8.64,675.0,1
239079,20000.0,5,debt_consolidation,1,57000.0,17.35,725.0,1
13295,10000.0,5,credit_card,1,25000.0,10.85,680.0,0
1318937,15000.0,5,home_improvement,1,87000.0,13.71,665.0,1
74724,35000.0,6,credit_card,0,383000.0,7.6,755.0,1
287249,7500.0,5,debt_consolidation,0,39000.0,13.03,670.0,1
825018,12500.0,5,debt_consolidation,0,75000.0,8.91,670.0,1
1626290,21000.0,5,debt_consolidation,0,104000.0,29.89,705.0,0
154185,15000.0,5,credit_card,1,87000.0,4.57,675.0,1
1392605,14000.0,5,debt_consolidation,1,43000.0,12.39,685.0,1
862901,8000.0,5,debt_consolidation,1,36000.0,22.11,680.0,1
815202,7450.0,6,debt_consolidation,0,80000.0,14.34,680.0,1
199332,24000.0,4,home_improvement,1,110000.0,8.85,670.0,1
1473978,6000.0,6,debt_consolidation,0,65000.0,6.79,680.0,1
76654,22000.0,5,debt_consolidation,1,214000.0,8.68,685.0,1
904870,8400.0,5,debt_consolidation,1,75000.0,21.26,695.0,1
1601383,9000.0,5,debt_consolidation,1,25791.12,11.26,670.0,1
681556,16000.0,5,credit_card,0,38500.0,30.74,670.0,1
1546736,8000.0,7,home_improvement,1,78500.0,29.62,770.0,1
173362,9000.0,6,credit_card,1,94000.0,21.0,695.0,1
