,company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age,Success,number_degrees
13050,c:24027,biotech,USA,California,27000000.0,1,2.0,,1.0,,,,1.0,2.0,False,False,False,6971.0,0,
13051,c:24028,biotech,USA,other,39781122.9091,11,0.8182,,1.0,1.0,5.0,2.0,4.0,16.0,True,False,False,5844.0,1,27.0
13052,c:24029,games_video,USA,other,4550000.0,7,1.4286,,2.0,,3.0,,1.0,9.0,False,True,False,3034.0,1,
13053,c:2403,software,other,other,553102.5,2,1.0,,1.0,,,,,2.0,False,False,False,2806.0,0,
13054,c:24030,mobile,USA,California,4950000.0,4,1.0,,1.0,2.0,3.0,,,14.0,False,False,False,1826.0,0,
13055,c:240321,hospitality,other,other,10000000.0,1,1.0,,1.0,,,,1.0,2.0,False,False,False,,0,
13056,c:240329,software,USA,other,275000.0,3,2.3333,,1.0,,1.0,,,2.0,False,False,False,1826.0,0,
13057,c:240347,mobile,other,other,,1,0.0,,1.0,,,,,3.0,False,False,False,896.0,0,
13058,c:240348,social,other,other,52666.6667,3,0.0,,1.0,,,,,1.0,False,False,False,579.0,0,
13059,c:240349,web,other,other,20000000.0,3,2.0,,1.0,,,,,,False,False,False,1096.0,0,
13060,c:240350,biotech,USA,other,,1,1.0,,1.0,,,,,1.0,False,False,False,2557.0,0,
13061,c:240360,cleantech,USA,other,,1,3.0,,1.0,,1.0,,,1.0,False,False,False,,0,
13062,c:24037,cleantech,USA,other,6800000.0,1,1.0,,1.0,,,,1.0,1.0,False,False,False,6575.0,0,
13063,c:24038,cleantech,USA,California,6500000.0,1,1.0,,1.0,,,,,,False,False,False,,0,
13064,c:240383,biotech,USA,other,16826718.6,5,0.0,,1.0,,,,,4.0,False,False,False,,0,
13065,c:240390,software,USA,other,200000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0,0,
13066,c:240391,cleantech,USA,other,691825.0,1,0.0,,1.0,,,,,,False,False,False,4018.0,0,
13067,c:240398,mobile,USA,other,726000.0,1,0.0,,1.0,,,,,,False,False,False,,0,
13068,c:240399,other,USA,California,2400000.0,2,0.5,,1.0,1.0,,,,3.0,False,False,False,1461.0,0,
13069,c:24040,cleantech,USA,other,6000000.0,1,3.0,,1.0,,,,,,False,False,True,8036.0,0,
13070,c:240406,biotech,USA,other,629902.0,2,0.0,,1.0,,,,,,False,False,False,1826.0,0,
13071,c:240409,games_video,USA,other,400000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0,0,
13072,c:24041,automotive,USA,California,5765997.8,10,0.6,,1.0,,1.0,,2.0,9.0,False,False,False,2922.0,0,
13073,c:24042,cleantech,USA,other,5000000.0,1,2.0,,1.0,,1.0,,,5.0,False,False,False,,0,
13074,c:240421,ecommerce,USA,other,27500.0,1,0.0,,1.0,,,,,,False,False,False,,0,
13075,c:240422,web,other,other,385980.0,1,0.0,,1.0,,,,,,False,False,False,,0,
13076,c:240424,web,USA,California,250000.0,1,0.0,1.0,2.0,,,,,,False,False,False,487.0,0,
13077,c:24043,cleantech,USA,other,9666666.6667,4,3.0,,1.0,,,,1.0,3.0,False,False,False,6940.0,0,
13078,c:240435,ecommerce,other,other,,1,2.0,,1.0,,1.0,,,4.0,False,False,False,731.0,0,
13079,c:240439,ecommerce,other,other,661000.0,1,2.0,,1.0,,,,,,False,False,False,365.0,0,
13080,c:24044,biotech,USA,other,9333333.3333,3,2.3333,,1.0,,3.0,,,6.0,False,False,False,,0,
13081,c:240443,other,USA,California,1406438.3333,3,0.0,,1.0,,,,,,False,False,False,1096.0,0,
13082,c:240452,software,USA,California,1163668.5,2,0.0,,1.0,,,,,,False,False,False,,0,
13083,c:24046,biotech,USA,other,27875000.0,2,5.5,,1.0,,7.0,4.0,2.0,20.0,False,False,False,2192.0,0,33.0
13084,c:240464,biotech,USA,other,323677.0,4,0.0,,1.0,,,,,,False,False,False,2557.0,0,
13085,c:24047,cleantech,other,other,10000000.0,2,1.5,,1.0,,3.0,,,3.0,False,False,False,2557.0,0,
13086,c:240477,cleantech,USA,other,5000000.0,1,0.0,,1.0,,,,,,False,False,False,2192.0,0,
13087,c:24049,biotech,other,other,13250000.0,2,5.5,,1.0,,1.0,1.0,,5.0,False,False,True,,0,
13088,c:240490,biotech,USA,other,6520475.0,2,0.0,,1.0,,,,,,False,False,False,3653.0,0,
13089,c:240493,hospitality,USA,California,9250000.0,1,3.0,,1.0,,,,,2.0,False,False,False,3653.0,0,
13090,c:240498,,other,other,10272843.0,1,0.0,,1.0,,,,,,False,False,False,,0,
13091,c:240508,mobile,USA,other,1845000.0,1,0.0,,1.0,,,,,,False,False,False,,0,
13092,c:240512,hardware,USA,other,3000000.0,1,0.0,,1.0,,,,,,False,False,False,,0,
13093,c:240514,music,USA,California,100000.0,1,0.0,,1.0,,,,,,False,False,False,,0,
13094,c:240515,biotech,USA,California,637225.0,2,0.0,,1.0,,,,,4.0,False,False,False,7375.0,0,
